timestamp,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,num_doors,ext_condition,int_condition,drive_type
1584031183,14900,2016,Ford,Transit,Minivan,122930.0,Clean Title,Pleasant Grove,UT,Dealer,,white,gray,Automatic,,6.0,Gasoline,,,,
1584031172,41599,2019,Ford,F-250,Truck,28667.0,Clean Title,American Fork,UT,Dealer,XLT,white,black,Automatic,,8.0,Diesel,4.0,,,4-Wheel Drive
1584031160,17500,2010,Dodge,Ram 2500,Truck,179250.0,Clean Title,Orem,UT,Dealer,SLT,red,gray,Automatic,,8.0,Diesel,4.0,Very Good,Very Good,4-Wheel Drive
1584031141,20900,2014,Toyota,Tundra,Truck,97530.0,Clean Title,Orem,UT,Dealer,SR5,white,gray,Automatic,4.6,8.0,Gasoline,4.0,Very Good,Very Good,4-Wheel Drive
1584031131,11500,2012,Chevrolet,Silverado 1500,Truck,128600.0,Clean Title,Orem,UT,Dealer,LT,white,gray,,5.3,8.0,Flex Fuel,4.0,Very Good,Very Good,4-Wheel Drive
1584031124,5500,2009,Cadillac,Escalade,SUV,226100.0,Rebuilt/Reconstructed Title,Orem,UT,Dealer,Premium,red,tan,,6.2,8.0,Flex Fuel,4.0,Very Good,Good,AWD
1584031118,21977,2015,Ford,F-150,Truck,68866.0,Clean Title,Lindon,UT,Dealer,XLT,black,,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive
1584031113,9900,2012,GMC,1500,Truck,178950.0,Clean Title,Orem,UT,Dealer,SLE,silver,gray,Automatic,5.3,8.0,Flex Fuel,4.0,Very Good,Very Good,4-Wheel Drive
1584031109,18615,2018,Nissan,Rogue,Sport Utility,40536.0,,Boise,ID,Dealer,SV,white,charcoal,,2.5,4.0,Gasoline,4.0,,,AWD
1584031103,10500,2012,GMC,1500,Truck,139750.0,Clean Title,Orem,UT,Dealer,Sierra,silver,gray,Automatic,5.3,8.0,Flex Fuel,4.0,Very Good,Very Good,4-Wheel Drive
1584031100,9900,2014,Chevrolet,Captiva,Sport Utility,60099.0,Clean Title,Idaho Falls,ID,Dealer,LT,black,black,Automatic,,4.0,Gasoline,4.0,Excellent,Excellent,FWD
1584031099,24958,2017,Ram,1500,Truck,45227.0,,Boise,ID,Dealer,Express,black,diesel gray/black,,5.7,8.0,Gasoline,4.0,,,4-Wheel Drive
1584031089,20992,2018,Ford,Mustang,Coupe,15154.0,,Boise,ID,Dealer,,red,ebony,Automatic,,4.0,Gasoline,2.0,,,
1584031078,13995,2016,BMW,5 Series,Sedan,86792.0,Clean Title,Bountiful,UT,Dealer,,black,,Automatic,,4.0,Gasoline,4.0,,,RWD
1584031068,6500,2014,Chevrolet,Cruze,Sedan,68000.0,Rebuilt/Reconstructed Title,Provo,UT,Owner,2LT,blue,creme,Automanual,,4.0,Diesel,4.0,Very Good,Very Good,FWD
