timestamp,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,n_pics
1584383967,10790,2019,Mitsubishi,Mirage,Sedan,6108,Clean Title,Tooele,UT,Dealer,ES,red,black,Automatic,,3.0,Gasoline,4.0,Excellent,Excellent,FWD,20
1584383987,9990,2018,Kia,Rio,Sedan,21791,Clean Title,Tooele,UT,Dealer,LX,silver,gray,Automanual,1.6,4.0,Gasoline,4.0,Excellent,Excellent,FWD,19
1584383994,16995,2011,Infiniti,QX56,Sport Utility,130504,Clean Title,Idaho Falls,ID,Dealer,8-passenger,silver,black,Automatic,,8.0,Gasoline,,,,4-Wheel Drive,20
1584384008,21990,2019,Nissan,Frontier,Truck,17667,Clean Title,Tooele,UT,Dealer,SV V6,silver,gray,Automatic,4.0,6.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive,23
1584384026,11790,2018,Hyundai,Elantra,Sedan,37506,Clean Title,Tooele,UT,Dealer,SEL,gray,gray,Automatic,2.0,4.0,Gasoline,4.0,Excellent,Excellent,FWD,24
1584384045,11990,2014,Volkswagen,Jetta,Sedan,36429,Clean Title,Tooele,UT,Dealer,2.0L TDI SE,gray,black,Automatic,,4.0,Diesel,4.0,Excellent,Excellent,FWD,22
1584384058,19500,2016,Chevrolet,Express Cargo Van,Van,68000,Clean Title,Bountiful,UT,Dealer,,white,gray,,,8.0,Flex Fuel,,Excellent,Excellent,RWD,16
1584384059,14999,2011,Ford,F-150,Truck,103293,Clean Title,American Fork,UT,Dealer,FX4,tuxedo black,black cloth interior,Automatic,,6.0,Gasoline,,,,4-Wheel Drive,25
1584384063,10790,2018,Ford,Fiesta,Hatchback,40713,Clean Title,Tooele,UT,Dealer,SE,blue,black,Automatic,1.6,4.0,Gasoline,4.0,Excellent,Excellent,FWD,19
1584384082,18490,2019,Ford,EcoSport,SUV,16286,Clean Title,Tooele,UT,Dealer,Titanium,silver,black,Automatic,2.0,4.0,Gasoline,4.0,Excellent,Excellent,AWD,23
1584384099,10790,2018,Ford,Fiesta,Hatchback,39670,Clean Title,Tooele,UT,Dealer,SE,gray,black,Automatic,1.6,4.0,Gasoline,4.0,Excellent,Excellent,FWD,20
1584384133,5000,2009,Toyota,Camry,Sedan,106000,Rebuilt/Reconstructed Title,Sandy,UT,Owner,XLE,white,tan,Automatic,,4.0,Gasoline,4.0,Very Good,Very Good,FWD,8
1584384158,10900,2015,Mazda,Mazda3,Sedan,45600,Clean Title,Springville,UT,Owner,i Sport,black,black,Automanual,,4.0,Gasoline,4.0,Good,Very Good,FWD,4
1584384196,6499,2010,Nissan,Maxima,Sedan,105000,Clean Title,Salt Lake City,UT,Owner,SE,white,black,,3.5,6.0,Gasoline,4.0,Good,Good,FWD,8
1584384211,8495,1999,Dodge,Ram 2500,Truck,280000,Clean Title,Cedar City,UT,Owner,SLT,,,Manual,,6.0,Diesel,4.0,Good,Good,4-Wheel Drive,6
1584384253,4100,2010,Honda,Civic,Sedan,100900,Clean Title,Salt Lake City,UT,Owner,LX,silver,gray,Automatic,,4.0,Gasoline,4.0,Good,Very Good,FWD,3
1584384260,1000,1995,Ford,F-250,Truck,162000,Clean Title,Lindon,UT,Owner,,,,Automatic,,8.0,Gasoline,2.0,,,4-Wheel Drive,11
1584384286,35000,2015,Chevrolet,Silverado 2500HD,Truck,108563,Clean Title,Grand Junction,CO,Owner,,white,gray,Automatic,,8.0,Diesel,4.0,Very Good,Excellent,4-Wheel Drive,20
1584384320,8765,2015,Ford,Escape,Sport Utility,119644,Clean Title,Sandy,UT,Dealer,SE,black,charcoal black,Automatic,,4.0,Gasoline,4.0,,,4-Wheel Drive,25
